id;time;subscriber;aprefix;destination;invoicegroup;prefix;pbx;direction;volumetimesecs;price;free;forward;servingnetwork;reason;billed;zone
935196383;06-03-2019 11:10;46840838262;Sweden;46867020XX;Udland;Sweden;firebrand-;ip-pstn;240;0,48;no;0;;0;yes;Norden
935196798;06-03-2019 11:11;46840836388;Sweden;47913172XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
935196980;06-03-2019 11:12;46840308799;Sweden;3204896649XX;Udland;Belgium;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Europa 1
935197078;06-03-2019 11:12;4570200645;Danmark 70 nummer;45221212XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;240;1,65;no;0;;0;yes;Norden Mobil (DK)
935197075;06-03-2019 11:12;46840308799;Sweden;324896649XX;Udland Mobil;Belgium-Mobile;firebrand-;ip-pstn;60;0,7;no;0;;0;yes;Europa 1 Mobil
935197503;06-03-2019 11:13;4578772919;Danmark Fastnet;45282104XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935197806;06-03-2019 11:14;46840836388;Sweden;4644479XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
935197826;06-03-2019 11:14;46840308799;Sweden;467085889XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;300;2,45;no;0;;0;yes;Norden Mobil
935198241;06-03-2019 11:16;4569669632;Danmark Fastnet;45702320XX;Danmark 70 nummer;Danmark 70 nummer;rackpeoplehq-;ip-pstn;240;0,25;no;0;;0;yes;Norden (DK)
935198582;06-03-2019 11:17;46840838262;Sweden;46847747XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
935200005;06-03-2019 11:22;46840836382;Sweden;46879062XX;Udland;Sweden;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden
935201028;06-03-2019 11:26;46840308799;Sweden;467395467XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935201098;06-03-2019 11:26;46840838262;Sweden;467220764XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
